timestamp,open,high,low,close,volume
2025-04-14 11:25:00,84780.57,84895.12,84780.56,84848.38,80.18931
2025-04-14 11:30:00,84848.38,84933.0,84848.38,84933.0,49.56717
2025-04-14 11:35:00,84933.0,84965.34,84860.53,84862.25,68.33242
2025-04-14 11:40:00,84862.25,84900.64,84803.44,84826.09,47.0474
2025-04-14 11:45:00,84826.08,84930.78,84817.24,84867.88,54.18396
2025-04-14 11:50:00,84867.88,84939.9,84840.08,84888.05,37.1539
2025-04-14 11:55:00,84888.05,84943.39,84842.59,84927.55,35.92658
2025-04-14 12:00:00,84927.56,85034.13,84869.56,84891.81,116.7043
2025-04-14 12:05:00,84891.82,84932.87,84767.65,84889.66,61.70486
2025-04-14 12:10:00,84889.66,84926.75,84759.87,84775.94,97.98361
2025-04-14 12:15:00,84775.94,84853.83,84752.01,84785.97,38.44259
2025-04-14 12:20:00,84785.98,84969.94,84768.34,84898.44,47.49148
2025-04-14 12:25:00,84898.43,85037.74,84810.92,85032.01,82.59572
2025-04-14 12:30:00,85032.01,85052.49,84933.35,85017.91,71.47258
2025-04-14 12:35:00,85017.9,85179.25,84982.78,85167.52,71.91466
2025-04-14 12:40:00,85167.51,85224.23,85081.09,85146.7,89.58907
2025-04-14 12:45:00,85146.7,85227.27,85131.83,85175.99,62.739
2025-04-14 12:50:00,85175.99,85217.4,85106.43,85106.43,73.96902
2025-04-14 12:55:00,85106.44,85154.15,85006.29,85128.76,51.03597
2025-04-14 13:00:00,85129.62,85279.99,85114.01,85200.32,72.71303
2025-04-14 13:05:00,85200.31,85262.67,85006.41,85017.62,132.82499
2025-04-14 13:10:00,85017.61,85108.95,84979.25,85092.49,47.59515
2025-04-14 13:15:00,85092.49,85270.0,85092.49,85155.17,75.31768
2025-04-14 13:20:00,85155.16,85171.0,84980.0,84995.43,72.30541
2025-04-14 13:25:00,84995.44,85084.91,84944.41,84944.42,67.75674
2025-04-14 13:30:00,84944.42,85057.86,84472.16,84713.65,318.35428
2025-04-14 13:35:00,84713.66,84756.0,84517.45,84636.0,167.04969
2025-04-14 13:40:00,84636.01,84682.7,84296.88,84417.8,227.05054
2025-04-14 13:45:00,84417.8,84534.0,84052.65,84370.07,190.18679
2025-04-14 13:50:00,84370.07,84663.4,84318.86,84644.9,132.58998
2025-04-14 13:55:00,84644.89,84644.9,84368.22,84376.66,68.68005
2025-04-14 14:00:00,84376.66,84606.0,84270.0,84534.36,107.39653
2025-04-14 14:05:00,84534.37,84650.04,84498.92,84518.42,108.28977
2025-04-14 14:10:00,84518.43,84615.99,84422.0,84518.86,69.79987
2025-04-14 14:15:00,84518.87,84615.99,84448.32,84615.99,56.3394
2025-04-14 14:20:00,84615.99,84840.0,84605.14,84840.0,103.29265
2025-04-14 14:25:00,84840.0,85100.0,84786.86,85074.28,154.93248
2025-04-14 14:30:00,85074.47,85118.1,84954.94,85003.98,144.1926
2025-04-14 14:35:00,85003.99,85592.48,84981.35,85592.48,336.31663
2025-04-14 14:40:00,85592.48,85665.98,85373.83,85506.96,364.45192
2025-04-14 14:45:00,85506.95,85769.0,85506.95,85739.94,222.17022
2025-04-14 14:50:00,85739.95,85799.99,85700.0,85732.84,285.11833
2025-04-14 14:55:00,85732.85,85735.99,85393.74,85423.6,219.97047
2025-04-14 15:00:00,85423.6,85468.97,84784.0,84801.88,375.8009
2025-04-14 15:05:00,84801.89,84839.25,84566.03,84839.24,218.4651
2025-04-14 15:10:00,84839.24,84863.99,84488.0,84560.55,151.85831
2025-04-14 15:15:00,84560.55,84745.87,84424.26,84742.13,131.2639
2025-04-14 15:20:00,84742.31,84857.64,84688.57,84816.83,136.27367
2025-04-14 15:25:00,84816.83,84832.91,84540.69,84540.7,127.80497
2025-04-14 15:30:00,84540.7,84753.63,84488.79,84747.76,74.95593
2025-04-14 15:35:00,84747.99,84785.77,84117.46,84173.92,249.9819
2025-04-14 15:40:00,84173.91,84248.96,83852.48,84248.96,358.1215
2025-04-14 15:45:00,84248.95,84282.45,83754.97,83816.73,244.29452
2025-04-14 15:50:00,83816.73,84125.08,83709.25,84094.34,148.37126
2025-04-14 15:55:00,84094.34,84269.97,84071.01,84101.16,84.54938
2025-04-14 16:00:00,84101.16,84391.12,84082.74,84294.0,135.21484
2025-04-14 16:05:00,84294.0,84390.24,84001.09,84001.1,108.41924
