Rank,Address,Balance,% of coins,First In,Last In,Ins,First Out,Last Out,Outs
189,13nrX5r86ohQKRLKaxQVvc7qJWVLfoFJ35,"1,000 BTC ((103,416,067)",0.0050316%,2012-12-05 01:35:36,2025-02-07 12:44:57,24,,,
190,1M1nMKdPHNehcnNa7z1DrrboKZ1FCKKAM1,"1,000 BTC ((103,416,067)",0.0050316%,2012-12-05 01:31:38,2025-02-07 12:44:57,24,,,
191,13XyAhrj45wSCJPwzutin3gjX1T2JLnh3t,"1,000 BTC ((103,416,067)",0.0050316%,2012-12-04 23:04:56,2025-02-07 12:44:57,24,,,
192,1FnSAxX7K93uzZDU7YBvic4YMdpoDBrzSJ,"1,000 BTC ((103,416,067)",0.0050316%,2012-12-04 22:43:42,2025-02-07 12:44:57,24,,,
193,1NzHXRDizgEGaJZfBG46k66QXpRzDrtpZo,"1,000 BTC ((103,416,067)",0.0050316%,2014-01-23 20:02:43,2025-02-07 14:55:20,27,,,
194,1NZGfyiibSHZDFpLHGr7LX1QqQfkYQ8gUw,"1,000 BTC ((103,416,067)",0.0050316%,2013-12-03 19:55:53,2025-02-07 12:44:57,24,,,
195,1DJv2uPEQi7UB7MSmeqmpUGuEvJnpS5mDA,"1,000 BTC ((103,416,067)",0.0050316%,2013-11-06 07:06:02,2025-02-07 14:55:20,25,,,
196,1NMLZVByBdAcY7UmhwCU4m1oUFVD9JbSpL,"1,000 BTC ((103,416,067)",0.0050316%,2013-11-04 23:51:44,2025-02-07 14:55:20,25,,,
197,16PAdwKR79mR24PqunHUkTjzw5hxTWMjQc,"1,000 BTC ((103,416,067)",0.0050316%,2013-05-21 06:51:28,2025-02-07 12:44:57,24,,,
198,1KxTeAd5sLdemKJUX9AFvRBivzYjVLfn1F,"1,000 BTC ((103,416,067)",0.0050316%,2013-04-30 00:53:56,2025-02-07 12:44:57,24,,,
199,1KsarsU3U2hVTQcbDWPS61HXt4oWC2AkgJ,"1,000 BTC ((103,416,067)",0.0050316%,2013-04-30 00:45:08,2025-02-07 12:44:57,24,,,
200,1HCwzgYBxrPtbRTupJTuoop2udJX6iW3U5,"1,000 BTC ((103,416,067)",0.0050316%,2013-04-30 00:45:08,2025-02-07 14:55:20,24,,,
201,17u63RjSg5cvfzYhWQUusJ4Pj3JQkC79Bf,"1,000 BTC ((103,415,738)",0.0050316%,2013-04-28 22:16:11,2025-02-07 12:44:57,24,,,
202,15LMDu1BdXe4hWuqv4XQtUoTczh1d16en6,"1,000 BTC ((103,415,738)",0.0050316%,2013-04-28 22:16:11,2025-02-07 12:44:57,24,,,
203,1C2GX9UtXGDBLTzdmdpywmgYxyPzWCmSTP,"1,000 BTC ((103,415,738)",0.0050316%,2013-04-28 22:16:11,2025-02-07 14:55:20,24,,,
204,1CoPFgnF4kcXizu2efzD94ApdUPc73yZiC,"1,000 BTC ((103,415,738)",0.0050316%,2013-04-26 15:52:09,2025-02-07 12:44:57,24,,,
205,18ty9e6JoAoTFE2PotYADAGaBDX1n87tMd,"1,000 BTC ((103,415,738)",0.0050316%,2013-04-26 15:52:09,2025-02-07 12:44:57,24,,,
206,1JqbjpSommDxXJmXYPBXidcAw6ZPmd7v3n,"1,000 BTC ((103,415,738)",0.0050316%,2013-04-26 15:52:09,2025-02-07 14:55:20,24,,,
207,1HYfivTqoSzjqy6eawyitWoK8HvigtU3yb,"1,000 BTC ((103,415,738)",0.0050316%,2013-01-31 21:19:58,2025-02-07 12:44:57,29,,,
208,1ANSato2K79wt7Lt1SzaShi6S2Zwu1fc4f,"1,000 BTC ((103,415,738)",0.0050316%,2013-01-22 15:09:13,2025-02-07 12:44:57,24,,,
209,1PVtFeBMdzPyScdukxG6Kom5JiTzozU72H,"1,000 BTC ((103,415,738)",0.0050316%,2013-01-21 17:59:15,2025-02-07 14:55:20,28,,,
210,1EcJrSJTGmrhHYqxFwGjcWESEDTMwTyTEj,"1,000 BTC ((103,415,738)",0.0050316%,2011-08-10 12:59:21,2025-02-07 12:44:57,24,,,
211,1DWQ6tDZaFiBxAV5Gm3JQCZAJQQ9kU9VfX,"1,000 BTC ((103,415,738)",0.0050316%,2011-05-13 15:24:45,2025-02-07 12:44:57,24,,,
212,1KHqggfE62Gkhwpt2AyH2XhJrpLA9SXDoe,"1,000 BTC ((103,415,738)",0.0050316%,2015-02-07 12:34:00,2025-02-07 14:55:20,24,,,
213,1khKqY1WeuaFqzq4spQnN2fYMNNuMtmxj,"1,000 BTC ((103,415,738)",0.0050316%,2013-09-18 06:56:14,2025-02-07 14:55:20,23,,,
214,1PyfQYtsPnGd6ohu1HVHnT2HigCicF7Acp,"1,000 BTC ((103,415,738)",0.0050316%,2013-05-10 09:43:15,2025-02-07 14:55:20,23,,,
215,1MPStDkvNuoQo3BkVqL2dtyu62hNk8Bgn8,"1,000 BTC ((103,415,738)",0.0050316%,2013-05-03 20:41:59,2025-02-07 19:33:31,23,,,
216,12qHoC3iB7mRaMF1zZcoTPS3mqKbUe4qnk,"1,000 BTC ((103,415,738)",0.0050316%,2013-05-01 05:46:07,2021-05-30 20:46:56,23,,,
217,1JbnJYGxYjRSTkf17gWuxmbXvA52VX1EBP,"1,000 BTC ((103,415,738)",0.0050316%,2013-05-01 05:46:07,2025-02-07 14:55:20,23,,,
218,1JE2qgYcf6bX8i4eGAL39v6syhcsWR8EKE,"1,000 BTC ((103,415,738)",0.0050316%,2013-04-30 00:45:08,2025-02-07 14:55:20,23,,,
219,16D68ce8dDRqospW425DAD4LizRXv,"1,000 BTC ((103,415,738)",0.0050316%,2013-04-30 00:31:05,2025-02-07 19:33:31,23,,,
220,1KSKKTX1Vh4QCZYaxU7Dj9MMKUqwUA6qJT,"1,000 BTC ((103,415,738)",0.0050316%,2013-04-28 22:16:11,2025-02-07 14:55:20,23,,,
221,1J2a36ac4LoK7bisFci4NWeKZ426BZKqJN,"1,000 BTC ((103,415,738)",0.0050316%,2013-04-28 22:16:11,2025-02-07 19:33:31,23,,,
222,17tEH87i9gpoFYbs88z2PoabpNYChMfs1P,"1,000 BTC ((103,415,738)",0.0050316%,2013-04-28 22:16:11,2025-02-07 19:33:31,23,,,
223,15cq9ht4HkJSmgwDKneftyxwuYGvnBrKJi,"1,000 BTC ((103,415,738)",0.0050316%,2013-04-26 15:52:09,2025-02-07 14:55:20,23,,,
224,16GJ3zu1p6Ps59wRLGWPTUXFnbyBXdwkCv,"1,000 BTC ((103,415,738)",0.0050316%,2013-04-26 15:52:09,2025-02-07 19:33:31,23,,,
225,1MD9WPJwzHVPTvXbuzEaFHaqLqqzvypxUN,"1,000 BTC ((103,415,738)",0.0050316%,2012-12-04 22:13:23,2025-02-07 19:33:31,23,,,
226,113Z8q6zh4vG1zp4Z845mPviuTLcyThAbp,"1,000 BTC ((103,415,738)",0.0050316%,2013-12-07 17:41:28,2025-02-07 19:33:31,24,,,
227,19FXykcZNxz2ZbuVW9erRNosduXDXTmHy7,"1,000 BTC ((103,415,737)",0.0050316%,2013-04-30 00:45:08,2025-02-07 19:33:31,22,,,
228,14Eo7CebKpMeiobNVdnahbpEWtbriiYoTA,"1,000 BTC ((103,415,737)",0.0050316%,2011-06-24 02:25:46,2025-02-07 19:33:31,22,,,
229,1GDV4cz38Unob83UpaETmjzqkyfoiJmYjG,"1,000 BTC ((103,415,737)",0.0050316%,2014-04-07 13:11:29,2025-02-07 19:33:31,27,,,
230,1GYh7MW31zFTirbQGaEV6CZ8hAAhciwHJB,"1,000 BTC ((103,415,728)",0.0050316%,2013-12-18 19:12:43,2025-02-07 19:33:31,23,,,
