Rank,Address,Balance,% of coins,First In,Last In,Ins,First Out,Last Out,Outs
86,14CQ2jCrpsd1eSdC4zWsJZH9LvDr6GrCyo,"1,958 BTC ((202,442,128)",0.0098496%,2011-08-08 23:49:10,2025-01-05 11:55:45,30,,,
87,1C4H9GDALbjDVnbfTt4a9ML1XbwzLS1rUC,"1,908 BTC ((197,317,961)",0.0096003%,2013-11-19 10:57:55,2025-01-05 12:34:45,25,,,
88,1FdPpELnjHfwSM4Nvi7LdYS4S4GVGsLUQY,"1,804 BTC ((186,562,595)",0.009077%,2012-04-13 18:08:58,2025-01-05 19:22:36,246,2012-04-21 01:56:30,2012-11-23 02:21:50,174
89,1Ek9Jj3Z3Bnipe3DnMq2otXG5iNjze66VR,"1,799 BTC ((186,070,329)",0.0090531%,2010-10-07 03:31:47,2025-04-07 02:42:20,27,,,
90,1DtFKiPdYD2U6XDZGtWK7q8JYVrDKBHBqE,"1,766 BTC ((182,632,777)",0.0088858%,2011-08-08 14:24:37,2025-01-05 19:38:23,27,,,
91,13FKHnREotr4jrjiSJwPUpecogVT7Rj7bu,"1,750 BTC ((180,978,122)",0.0088053%,2010-08-04 17:00:41,2025-01-28 16:26:42,38,2010-12-08 05:35:38,2012-07-24 07:19:32,7
92,1BVMFfPXJy2TY1x6wm8gow3N5Amw4Etm5h,"1,698 BTC ((175,625,746)",0.0085449%,2010-11-09 00:04:43,2025-02-17 06:52:44,34,2010-11-09 01:32:00,2010-11-09 01:32:00,1
93,113324vM6NBar2q72w6iDCdQvPnPQw8Tvw,"1,600 BTC ((165,465,742)",0.0080506%,2011-06-13 08:33:20,2025-01-06 11:35:35,28,,,
94,1MmcSBpzNYeGgSfVNxXEoBdpmsCxyMUuWW,"1,600 BTC ((165,465,720)",0.0080506%,2011-06-17 03:08:49,2025-01-06 11:35:35,26,,,
95,1JNamaC2PE4woAk1vaoW46e5pxgdQkaKnc,"1,592 BTC ((164,638,392)",0.0080103%,2011-08-08 20:20:12,2025-01-06 11:35:35,26,,,
96,1JKkR1fSQKY6qUGHdNrD9wzTavButq7AWp,"1,526 BTC ((157,823,956)",0.0076788%,2012-03-26 09:13:05,2025-01-06 12:42:19,30,,,
97,1J3St3rp3hVsuLGhegbLWicyPL3NRD3YJ7,"1,523 BTC ((157,518,328)",0.0076639%,2011-07-29 01:57:42,2025-01-06 12:42:19,27,,,
98,1khexYoq6fvMdKAww7dpdZb4WBPKBq2hb,"1,518 BTC ((156,985,608)",0.007638%,2013-09-25 09:13:43,2025-01-06 12:42:19,27,,,
99,13oRbW4P5kYaSX4UXAyd5VsSYr8x5hX2Pv,"1,500 BTC ((155,124,171)",0.0075474%,2011-05-12 03:48:24,2025-01-06 15:01:59,26,,,
100,174NVbudzKV1jZnZvRzKvauZxnq25NfG4v,"1,500 BTC ((155,124,133)",0.0075474%,2012-07-04 06:35:50,2025-01-28 16:27:07,31,2012-07-09 00:55:06,2012-07-20 20:54:35,2
101,14mYYUZJPUMgofvURnFY65YRSj1uqDzXBj,"1,482 BTC ((153,300,759)",0.0074587%,2013-10-21 08:34:48,2025-01-06 21:46:03,27,,,
102,14uByGebfPR3EDhA9sVvg4wXdBNbJYW753,"1,441 BTC ((149,035,308)",0.0072512%,2013-12-31 18:30:19,2025-01-07 20:08:42,28,,,
103,1D6iTqvbgcqenbkKNsFsi9zN21KH4KPPEa,"1,435 BTC ((148,381,510)",0.0072194%,2011-02-01 04:56:59,2025-01-28 16:26:42,33,2011-02-03 13:21:54,2011-02-03 13:21:54,1
104,1AV4KGCsvtPZ9tG7hvwgb85wJyFd9xdpFv,"1,430 BTC ((147,846,101)",0.0071933%,2012-12-22 05:52:39,2025-01-08 11:27:23,468,2012-12-24 02:24:12,2013-09-09 23:30:21,315
105,1DmXZ4UWKQ2AjwLAvEK8R6vmZe5jYoFUE6,"1,411 BTC ((145,953,055)",0.0071012%,2012-09-05 11:37:46,2025-01-08 11:27:23,22,,,
106,1NScGjCDbwKKQhrUgQVhvkiWTiqDR2GaLY,"1,400 BTC ((144,782,518)",0.0070443%,2013-05-18 06:32:04,2025-01-13 00:00:09,24,,,
107,139Gqqx4TESNaX1DAg5jRJCd3P22GGS1E1,"1,399 BTC ((144,638,856)",0.0070373%,2013-12-06 16:06:03,2025-01-19 09:36:35,25,,,
108,1JqdadgxgxrnbEnfvohxtaSNbHt52kVLtC,"1,396 BTC ((144,415,582)",0.0070264%,2013-02-01 15:19:38,2025-01-19 11:11:56,3484,,,
109,1K4VSNMNqnmngpTXdny8a6xj9cfvyTtFfV,"1,381 BTC ((142,777,182)",0.0069467%,2013-10-27 08:25:02,2025-01-20 00:55:12,300,,,
110,14ResTzJYh5t9xDqtEsgCfXNjaWNSuA5uQ,"1,364 BTC ((141,079,249)",0.0068641%,2012-07-04 06:35:50,2025-01-31 11:23:03,36,2012-07-20 01:45:07,2012-07-20 01:45:07,1
111,1GkqY6YQB6WKC9Hjh8oP8yojDufDYRCXkq,"1,336 BTC ((138,186,610)",0.0067233%,2011-06-27 04:28:57,2025-01-31 12:14:35,44,,,
112,194RLDTv6rjkDu9kX99mTBuK6KunAWRRkk,"1,335 BTC ((138,060,479)",0.0067172%,2014-03-06 06:30:26,2025-01-31 12:14:35,74,2014-11-09 02:23:04,2014-11-09 02:23:04,10
113,1Dq9aaxg3DJ6rXfhKE5jKYQmcK3SBuYy74,"1,326 BTC ((137,128,544)",0.0066719%,2013-12-12 03:15:50,2025-01-31 12:14:35,23,,,
114,15aKbxrQCJDEemv8LBeqE5mX6JikdporrZ,"1,312 BTC ((135,723,807)",0.0066035%,2013-01-17 13:55:18,2025-01-31 12:14:35,35,,,
115,1FUGUiJFcsLktTAkexy2ghT3Kus7yyEuUJ,"1,303 BTC ((134,791,552)",0.0065582%,2013-01-22 06:32:24,2025-01-31 12:14:35,47,2013-02-09 09:46:26,2013-07-06 04:00:24,13
116,12bFfEEyw8MwT2oan8Tv99Cw15kYKL6aiJ,"1,300 BTC ((134,440,918)",0.0065411%,2013-07-30 04:56:48,2025-01-31 13:46:46,24,,,
117,1F6aQVRg1aWB5K63fNcaA79o9Xoik27GM,"1,300 BTC ((134,440,918)",0.0065411%,2013-07-01 21:33:32,2025-01-31 13:46:46,24,,,
118,1BmU4dAJAKEaDuj3Eswc66UxjbHWdVWu4F,"1,294 BTC ((133,820,459)",0.0065109%,2011-08-08 20:20:12,2025-01-31 13:46:46,26,,,
119,18iJBAX3BRVZT2i5vkh73TUM9UvAN1ASE3,"1,236 BTC ((127,832,197)",0.0062196%,2012-08-03 19:57:25,2025-01-31 14:39:07,25,,,
120,15eSCVaJFFXbFitzNxWwUUCEwpS2dkZK2G,"1,209 BTC ((125,019,670)",0.0060827%,2012-11-30 11:30:10,2025-02-01 13:06:40,29,2012-12-18 18:36:54,2012-12-18 18:36:54,1
121,165JPvFVSTLqV8seGzY7mumNpzysVSoTKc,"1,206 BTC ((124,755,811)",0.0060699%,2011-11-18 13:37:08,2025-05-14 00:37:24,26,,,
122,1APMXEM4SUeR9WBwvUVjAponH9vzeG2fjp,"1,201 BTC ((124,202,785)",0.006043%,2013-01-22 15:09:13,2021-05-22 23:22:00,23,,,
123,1MVLP2kRPNqz8VJUy83LstUoMQzUjgq4Zg,"1,201 BTC ((124,166,487)",0.0060412%,2010-09-10 20:45:07,2025-02-01 15:03:00,41,,,
124,1B2KQvEL2wyWiBmxg5rNbHCU4zQmGDgiwH,"1,200 BTC ((124,099,276)",0.0060379%,2013-06-05 07:23:34,2025-02-01 15:03:00,23,,,
125,1FHJmaZ46UsX6gZzaQQqduA5xcCcsCLcYj,"1,182 BTC ((122,238,003)",0.0059474%,2014-12-04 05:10:22,2025-02-02 21:13:00,24,,,
126,1k7rio1YLfhN2JfaAsmsy3PT2oUdqiy8J,"1,182 BTC ((122,237,780)",0.0059474%,2012-11-15 07:06:31,2025-02-02 21:13:00,25,,,
