Address,label,Balance
12HnxiXEeKUVjQRbMVTytsGWnzHd5LdGCt,null,10000
17uULjz9moeLyjXHoKNwDRgKzf8ahY3Jia,null,10000
18qNs1yBGGKR8RyErnEF5kegbNUgPfixhS,null,10000
1DP3VYwN6ozHXDDaETbvNFLd86CAXfaewi,null,10000
1NhJGUJu8rrTwPS4vopsdTqqcK4nAwdLwJ,null,10000
1MewpRkpcbFdqamPPYc1bXa9AJ189Succy,null,10000
1MtUMTqtdrpT6Rar5fgWoyrzAevatssej5,null,10000
1H2MXWiSniAgg7ykdXEzPHL6oTH1ic4kP,null,10000
1DcT5Wij5tfb3oVViF8mA8p4WrG98ahZPT,OKX,10000
1JQULE6yHr9UaitLr4wahTwJN7DaMX7W1Z,OKX,10000
1CY7fykRLWXeSbKB885Kr4KjQxmDdvW923,OKX,10000
bc1qxkhwkn623l5lg4rx9vx8cujmleaga0eg6wc7p6,null,9800
39DUz1NCkLu25GczWiAjjgZBu4mUjKbdNA,null,9757
1PJiGp2yDLvUgqeBsuZVCBADArNsk6XEiw,null,1083
bc1qd46j77pkp5vdxraf8tw5l6xs36dlygdx2rt9ly,null,9500
1P9fAFAsSLRmMu2P7wZ5CXDPRfLSWTy9N8,null,9425
33eU1zeB2S4x3p4ccSsnAChXcGJgtMrMtZ,null,9363
1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT,null,9260
bc1q69ydwymww89nsudsxnhped0c9zf5jpzgsq8hfqk2ry8x4w5jz2uskwtwt9,Kraken-wallet,9137
bc1qukqenm2t85dhdta9glqehllglxznsu4qyxn079,null,9112
3NWndKFmvV6cJ6ENgXVeaDTo3mBfAvr27H 3-of-8,null,9101
bc1qffyax9rrxmqyq8xwjkzrrqwqjp3ppz5a4665f9,null,9099
bc1q6xhpjtd5fxepcz4gfhqa5ljy55ekqwzazs555v,null,9097
167ZWTT8n6s4ya8cGjqNNQjDwDGY31vmHg,null,8999
39wVd42giU95ca39sEPkbPTpWygvsBDuA5,OKEx,8976
3CybbwzZmteP8gSwk5c7r8jirMziPVGkqw,null,8611
187zSqAYwMKJAxWdWQ4fmp5DyT6G2NPgD7,null,8539
bc1qcxycjmmyl0fwd0nnqv73clpfrjwvcrqws7m0r35c96ncv57989csr83nrp,null,8325
3Jb6mS4t7NU6xtCnyBsQiU35GDE4FkxQ5Y,null,8319
bc1qfn9ljy4g7kdpl4stlyys030wpstcep03w9rvx2,null,8307
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,null,8300
1MwQyJLNerHPVMTQXKAbQrnwF9VortvuAf,null,8150
1GcPTDtNXuPghJU5qSGvkPQ99nhWrbQaYR,null,8022
18zuLTKQnLjp987LdxuYvjekYnNAvXif2b,null,8021
3PWn1AGqo8HWH8mXSsxx1Ytk87zMAAziFU,null,8000
198aMn6ZYAczwrE5NvNTUMyJ5qkfy4g3Hi,null,8000
1CptxmzfRyU2rF3VJ6q8wa2tkh3cm82p9P,null,8000
1PnsNtAqmHQKxyqKS843J9aegdJsXr5rpD,null,8000
1AXskHt4ZwVZLonZV8BMDxh4V65ec41KMJ,null,8000
1JnfbQerGjFHVq28945y1bhoUHpn6vKM9v,null,8000
15Z5YJaaNSxeynvr6uW6jQZLwq3n1Hu6RX,null,7941
3D6kjgsypiAnGY7E1XHDQXapW4whUWaH1H,null,7895
1B4U28Yc1JmSQbpzzSfavEskTPMvBRphyD,null,7881
1K8QG4fuswaWFZ2fmmuxVKaWibi9H95iGw,null,7743
14vbdGfYS7UKMvc4334UZDvTMPFA2G7zCB,null,7743
1FKFB8dQDddNcSq3ZkNyzAJQT2NhWY1YFP,null,7660
143gLvWYUojXaWZRrxquRKpVNTkhmr415B,Huobi-coldwallet,7651
3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnE,OKEx,7631
1JKDzFHcb6KBybKSquvMw1FrxXhvBdMiB5,null,7626
1DwSAnZw4Gk9FotgWZhRb3Nzqi4PLdU8M,null,7626
1JECFWTZsRw65y65DEVR2djXv2KMYfuo7A,null,7626
1Mt6STNGoHGuDziUSCagqTGNGrbDFSBxRn,null,7626
1361wC48gW19mKAJmAkdXScLZKYdXgViS9,null,7626
3Khr5PPG7grJxVZ56DdzzQiq8VLLAXWoFe,null,7522
1M14kQL3zfyEAHx6JCM3gsZyAxyiSDMWdp,null,7519
bc1qk2q9ptkvfrtt3769hh85zvq88jyrulk6zgys2h,null,7500
3JzJtHrWgKswmsWB4owpvXFw47bU2d1GQc,null,7500
1BdXs6VndkN2Kr4D5YAiDmuWuEk3V2qC4c,null,7499
34ovCavdkQgEYbrJk9Q1onhK7uWqq6J7DC,null,7453
19tiUa9nsPTgaqWNHaM9QyCfv4Wm9dVeYa,null,7441
1FZcb6BU1ZbHQJcby7vDF2Na1z9UmkGSSG,null,7441
1C1sUtw6fYa1Yr5wexrH2ayT1ZykD9Sobx,null,7441
1JFUG5K3HidvfJD4R7nKyDJikmFpPcBB2,null,7441
19RtRzXV5px91eMbWZFCWLZRUeQX5XxxnJ,null,7441
bc1qhk0ghcywv0mlmcmz408sdaxudxuk9tvng9xx8g,null,7431
bc1qkn9gegkca8xgd6ut6d3yw72u600pp0rjvf26er,null,7153
3JZq4atUahhuA9rLhXLMhhTo133J9rF97j,Bitfinex-coldwallet,7135
bc1qg2ayc8hnw8k98q66vw3qjyx55tj7tg2rqcslna,null,7087
36ZF5foUhdvma5RrnRr1bu6RtjoUsi6Phg,Kraken-wallet,7079
bc1qefquzwru2k8f4m2guh2rs388l9q73qecf0dejm,null,7030
bc1qzkqmyv57jpuntyc9ydjyrq4hlneevrmr0xe9kz,null,7014
13eEt6myAo1zAC7o7RK5sVxxCNCAgd6ApH,null,7000
1DzjE3ANaKLasY2n6e5ToJ4CQCXrvDvwsf,null,7000
bc1q4uccuzje5y77tajhgguzj3dut0rjkkq6thym8u2xvqhqn4zykrlsfsyhvl,null,7000
324rP14bzX8kW1JWt1J8ohZjDFyt2G68Kq,null,7000
1FJuzzQFVMbiMGw6JtcXefdD64amy7mSCF,null,6999
186XqVoL7TGxR3osoo4xn32wbYtb527raY,null,6977
1Ac2JdpQ5c9NeSajdGx6dofxeXkn4S35ft,null,6878
19dNe9Xg6JWvszgU3NuM6TNd2wHmANPbHB,null,6865
1pChUJ9WQhWtqyt5RtSnLarZYQztZsbzi,null,6804
1AYLzYN7SGu5FQLBTADBzqKm4b6Udt6Bw6,null,6512
1NpZcfBnaJeoRT9ZqwZVRMw3SRs546VsuE,null,6507
bc1ql7c3k2xw90qmhpntte94mu7mpra6g77nqtj6v7,null,6500
bc1qrxhrm90p6qccryymrugwknt42je5kv0wd7c50tdhx70fa6yclv8sz6uvd3,null,6500
18QCiLiXhko8pb4rqv3mCtC834tSTWHNij,null,6406
147sPaNaqeyQp8GS2oAUajhb9d4PZ9xAv9,null,6406
bc1qzxwdcxqj36ane625hkgjpg6p0pjg79u29qyrus,null,6401
1PjPfocmxS262puhYqUwaagE9zBJTZHGwK,null,6396
1NSbFq6rCeSC1p2EBrov5R1uUTFRBu8tcs,null,6396
3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh,OKEx,6394
18gYq8BpkbcizC4jZ9zyQxo2NBVEQ2p4hM,null,6389
1NFPNeet3ygvVZtDbxYeLECfs7g7vH8PSV,null,6389
16b8LpbDa38xrAQHVVDrC3xyztPdRaX5a2,null,6389
1HmiKJMQH4569UMpeGX2QStUfpjx7pBKhW,null,6389
14Ngt4akcnVgaoAMxoMqz9rPcP3bYsGbbM,null,6387
18SN8PV997oDGtYmTPPD55GDaPtNNEGWeu,null,6374
bc1qatjx2qc8vxz39m0qdz303z8et2pgmc74xz8km3,null,6369
1MJZLeLbsoSf2kuDr5gAX3QE93BvhvqkCC,null,6366
36NkTqCAApfRJBKicQaqrdKs29g6hyE4LS,OKEx,6357
1JCozFUFS5TBAAbnrr9jRWDVQURo2kGeRq,null,6350
1DFv3qVAbravZBZqHmoEphMDtTs2zXPYXk,null,6336
19CkUw43czT8yQctnHXNiB5ivNtibWbzqS,null,6326
1JxmKkNK1b3p7r8DDPtnNmGeLZDcgPadJb,null,6316
1LVYbnSX6f6vE2Zn4zs2oZ4eKyBgzkqaay,null,6309
1JtAupan5MSPXxSsWFiwA79bY9LD2Ga1je,null,6250
1LBBmkr9muf7RjjBbzQQvzNQpRRaVEnavs,null,6200
32ixEdVJWo3kmvJGMTZq5jAQVZZeuwnqzo,null,6198
bc1qfflzlmk8mj97mht8w9aq7w6lwc34xwww2hthy2,null,6163
16rF2zwSJ9goQ9fZfYoti5LsUqqegb5RnA,OKX,6101
37TTwX8uGwjWApXL8GbwU9p7vHoAupCFcw,null,6087
