Rank,Address,Balance,% of coins,First In,Last In,Ins,First Out,Last Out,Outs
1,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,79957,0.40231%,2011-03-01 19:26:19,2025-05-27 23:50:02,636,,,
2,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,53880,0.2711%,2014-05-28 07:49:42,2025-05-20 20:16:58,208,,,
3,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,31000,0.15598%,2010-05-13 17:22:38,2025-05-17 13:40:00,193,2010-06-02 19:57:07,2010-07-25 08:35:23,4.0
4,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,28151,0.14165%,2010-04-06 07:47:07,2025-06-01 00:47:41,170,,,
5,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,19414,0.097686%,2010-07-24 21:16:11,2025-04-13 10:17:17,126,,,
6,1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC,10771,0.054193%,2011-08-09 07:14:47,2025-04-12 06:35:27,110,,,
7,1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr,10009,0.050363%,2011-05-04 11:10:49,2025-05-10 20:34:58,90,,,
8,1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fV,10000,0.050317%,2011-05-04 11:01:23,2025-04-12 06:35:27,57,,,
9,14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,10000,0.050316%,2011-05-04 10:40:51,2025-04-12 06:35:27,69,,,
10,1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYm,10000,0.050316%,2011-04-03 07:18:45,2025-04-12 06:35:27,77,,,
11,1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,10000,0.050316%,2011-05-04 10:14:27,2025-04-12 06:35:27,62,,,
12,12tLs9c9RsALt4ockxa1hB4iTCTSmxj2me,10000,0.050316%,2011-04-03 06:08:32,2025-04-12 06:35:27,61,,,
13,1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRtt,10000,0.050316%,2011-05-04 11:01:23,2025-04-12 06:35:27,53,,,
